SUB,ITEM,condition,log_rt,gpt2_s_surprisal,cloze_surprisal,word_length,log_freq
1513268790,5,LC,6.342121418721152,2.532531213210892,33.219280948873624,8,5.29
1513268790,6,LC,6.577861357721047,4.950842556608362,33.219280948873624,6,5.71
1513268790,7,LC,6.601230118728877,5.727484907062348,4.475733438179873,4,5.36
1513268790,8,LC,6.2878585601617845,4.761935781004747,33.219280948873624,4,5.81
1513268790,9,LC,6.342121418721152,12.410499230943032,6.491853110756625,12,3.56
1513268790,10,LC,6.349138991379798,5.20631212154071,4.475733438179873,6,4.56
1513268790,11,LC,5.703782474656201,7.371349774492048,33.219280948873624,5,5.3
1513268790,12,LC,6.398594934535208,4.990999129723621,6.523561984910914,9,4.61
1513268790,13,LC,6.19644412779452,13.721450057826257,5.523561984910914,7,3.72
1513268790,14,LC,6.306275286948016,3.1841996186930053,33.219280948873624,5,5.61
1513268790,15,LC,5.703782474656201,7.54197169862123,6.491853110756625,4,5.81
1513268790,16,LC,6.220590170099739,10.111032026875383,33.219280948873624,5,3.56
1513268790,17,LC,6.068425588244111,12.952204681185878,33.219280948873624,9,1.81
1513268790,18,LC,6.091309882077698,6.459870618004508,33.219280948873624,4,4.57
1513268790,19,LC,6.45833828334479,4.673189981437124,33.219280948873624,5,5.52
1513268790,20,LC,6.104793232414985,11.990924852453295,33.219280948873624,8,3.69
1513268790,21,LC,6.760414691083428,9.70685215942968,33.219280948873624,4,6.04
1513268790,22,LC,6.467698726104354,7.477823545710609,33.219280948873624,3,3.31
1513268790,23,LC,6.338594078203183,8.18435854440158,33.219280948873624,9,3.42
1513268790,24,LC,5.703782474656201,6.665637540802806,33.219280948873624,5,4.89
1513268790,25,LC,6.274762021241939,8.968698494342883,33.219280948873624,4,3.94
1513268790,26,LC,6.53813982376767,6.8656629947847,33.219280948873624,5,4.63
1513268790,27,LC,5.703782474656201,5.958087844471746,4.5077946387560015,4,6.29
1513268790,28,LC,6.298949246855942,0.0009981858780173,33.219280948873624,6,4.4
1513268790,29,LC,6.35088571671474,3.92233127000049,4.922832138034845,7,4.16
1513268790,30,LC,6.400257445308821,10.562376416493704,33.219280948873624,7,3.43
1513268790,31,LC,6.309918278226516,2.7721429458377846,33.219280948873624,3,6.52
1513268790,32,LC,6.529418838262226,6.6991631508313985,4.93859943994711,4,3.99
1513268790,33,LC,6.439350371100098,10.222664589689224,4.922832138034845,6,4.1
1513268790,34,LC,6.261491684321042,11.9413924731436,33.219280948873624,4,4.3
1513268790,35,LC,6.19644412779452,3.5911429033727726,4.906890610035469,5,5.7
1513268790,36,LC,6.173786103901937,19.158554147207493,5.475733438179873,6,2.6
1513268790,37,LC,6.115892125483034,10.226959340446571,5.459431601324957,7,3.76
1513268790,38,LC,6.342121418721152,5.368912774833651,33.219280948873624,5,4.45
1513268790,39,LC,6.829793737512425,4.136174154118005,33.219280948873624,8,3.59
1513268790,40,LC,5.703782474656201,7.491782345585238,33.219280948873624,4,5.81
1513268790,41,LC,5.703782474656201,4.328800914459781,33.219280948873624,5,5.71
1513268790,42,LC,5.703782474656201,1.8783652756729492,5.5077946387560015,5,5.71
1513268790,43,LC,6.208590026096629,6.334214589839312,33.219280948873624,7,4.86
1513268790,44,LC,6.269096283706261,10.846322524790612,33.219280948873624,3,3.72
1513268790,45,LC,6.366470447731438,4.572192825752638,33.219280948873624,4,5.04
